Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
12520720,0000011E,FALSE,Rx,0,8,6B,4,0,0,0,0,0,0
12520971,135,FALSE,Rx,0,8,0,C0,0,0,0,0,0,0
12521696,779,FALSE,Rx,0,8,21,F1,C1,5E,2B,F3,0,E9
12522032,000000A7,FALSE,Rx,0,8,F4,38,E0,80,FD,11,78,3E
12522283,000000A8,FALSE,Rx,0,8,84,78,5E,E8,81,64,F8,0D
12522770,120,FALSE,Rx,0,8,AF,4,0,2,1,8,FF,1
12523224,121,FALSE,Rx,0,8,22,4,0,C0,39,59,7E,FE
12524983,117,FALSE,Rx,0,8,24,4,0,40,68,0,0,FF
12525658,0000009F,FALSE,Rx,0,8,58,3A,0,0,0,8,80,40
12525892,86,FALSE,Rx,0,8,4D,0A,1,0,0,0,0,0
12528996,134,FALSE,Rx,0,8,0,0,0,0,0,40,1F,7D
12529941,000000B2,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
12530192,000000FD,FALSE,Rx,0,8,2D,D4,1F,80,0,0,0,0
12530426,104,FALSE,Rx,0,8,B0,34,A6,0,E6,0,0,31
12530677,116,FALSE,Rx,0,8,21,4,1,4,0,40,0,FF
12530928,135,FALSE,Rx,0,8,0,C0,0,0,0,0,0,0
12532008,000000A7,FALSE,Rx,0,8,24,39,E0,80,FD,11,78,3E
12532242,000000A8,FALSE,Rx,0,8,CB,79,5E,A8,81,64,F8,0D
12532782,779,FALSE,Rx,0,8,22,2B,E6,0,27,2B,E7,0
12535304,000003C8,FALSE,Rx,0,8,0,0,54,24,0,60,1,51
12535656,0000011D,FALSE,Rx,0,8,AA,6,0,C8,0,0,0,0
12535889,86,FALSE,Rx,0,8,29,0B,1,0,0,0,0,0
12536140,0000009F,FALSE,Rx,0,8,3C,3B,0,0,0,8,80,40
12537974,000000AD,FALSE,Rx,0,8,D5,EF,BF,FF,0,14,0,0
12539920,000000B2,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
12540153,101,FALSE,Rx,0,8,76,5,7E,10,82,8,40,0
12540420,106,FALSE,Rx,0,8,C7,85,64,0,0,0,FD,10
12540654,108,FALSE,Rx,0,8,3,13,34,D0,63,8C,0,0
12540905,0000011E,FALSE,Rx,0,8,0F,5,0,0,0,0,0,0
12541156,135,FALSE,Rx,0,8,0,C0,0,0,0,0,0,0
12541677,779,FALSE,Rx,0,8,23,2B,E9,0,0,AA,AA,AA
12542114,000000A7,FALSE,Rx,0,8,22,3A,E0,80,FD,11,78,3E
12542365,000000A8,FALSE,Rx,0,8,AC,7A,5E,A8,81,64,FC,0D
12542870,120,FALSE,Rx,0,8,AD,5,0,2,1,8,FF,1
12543308,121,FALSE,Rx,0,8,8A,5,0,0,3A,59,7E,FE
12544982,117,FALSE,Rx,0,8,40,5,0,40,68,0,0,FF
12545486,0000070F,FALSE,Rx,0,8,10,0D,22,2B,F0,2B,F1,2B
12545737,86,FALSE,Rx,0,8,3A,0C,1,0,0,0,0,0
12545988,0000009F,FALSE,Rx,0,8,2F,3C,0,0,0,8,80,40
12547958,000003DB,FALSE,Rx,0,8,50,80,0,0,5,10,1,78
12549025,134,FALSE,Rx,0,8,0,0,0,0,0,40,1F,7D
12549970,000000B2,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
12550221,000000FD,FALSE,Rx,0,8,B7,D5,1F,80,0,0,0,0
12550472,104,FALSE,Rx,0,8,D4,35,A6,0,E6,0,0,31
12550706,116,FALSE,Rx,0,8,45,5,1,4,0,40,0,FF
12550956,135,FALSE,Rx,0,8,0,C0,0,0,0,0,0,0
12551139,0000030D,FALSE,Rx,0,4,4,0,0,0,0,0,0,0
12551982,000000A7,FALSE,Rx,0,8,4C,3B,E0,80,FD,11,78,3E
12552233,000000A8,FALSE,Rx,0,8,61,7B,5E,A8,81,64,FC,0D
12552602,000002B7,FALSE,Rx,0,8,B7,0C,0,0,0,0,0,FE
12552836,779,FALSE,Rx,0,8,30,0F,0A,AA,AA,AA,AA,AA
12554815,0000070F,FALSE,Rx,0,8,21,F3,2B,E6,2B,E7,2B,E9
12555608,0000011D,FALSE,Rx,0,8,CE,7,0,C8,0,0,0,0
12555842,86,FALSE,Rx,0,8,5E,0D,1,0,0,0,0,0
12556076,0000009F,FALSE,Rx,0,8,4B,3D,0,0,0,8,80,40
12559896,000000B2,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
12560146,101,FALSE,Rx,0,8,6F,6,7E,10,82,9,40,0
12560431,106,FALSE,Rx,0,8,6B,86,64,0,0,0,FD,10
12560665,0000011E,FALSE,Rx,0,8,A3,6,0,0,0,0,0,0
12560952,135,FALSE,Rx,0,8,0,C0,0,0,0,0,0,0
12561169,0000031B,FALSE,Rx,0,8,D3,8,0,0,0,0,0,0
12563063,000000A7,FALSE,Rx,0,8,F3,3C,E0,80,FD,11,78,3E
12563297,000000A8,FALSE,Rx,0,8,7F,7C,5E,A8,81,64,FC,0D
12564158,120,FALSE,Rx,0,8,42,6,0,2,1,8,FF,1
12564426,121,FALSE,Rx,0,8,8D,6,0,0,3A,59,7E,FE
12564998,117,FALSE,Rx,0,8,EC,6,0,40,68,0,0,FF
12565367,40,FALSE,Rx,0,8,9D,0D,0,44,C1,0,0,0
12565601,108,FALSE,Rx,0,8,10,14,34,D0,63,8C,0,0
12565852,86,FALSE,Rx,0,8,F2,0E,1,0,0,0,0,0
12566086,0000009F,FALSE,Rx,0,8,E7,3E,0,0,0,8,80,40
12566337,0000032A,FALSE,Rx,0,8,18,0A,0,0,48,2,0,0
12566587,396,FALSE,Rx,0,8,0E,0D,0,12,0,0,0,0
12566872,17F00072,TRUE,Rx,0,8,0,48,0,0,0,0,0,0
12567174,0000030B,FALSE,Rx,0,8,10,2C,2,0,0C,0,0,24
12567974,365,FALSE,Rx,0,8,C0,6,11,0,8A,2,A8,7A
12568902,118,FALSE,Rx,0,4,0,0F,0,12,0,0,0,0
12569151,134,FALSE,Rx,0,8,0,0,0,0,0,40,1F,7D
12570012,000000B2,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
12570263,000000FD,FALSE,Rx,0,8,A5,D6,1F,80,0,0,0,0
12570497,104,FALSE,Rx,0,8,78,36,A6,0,E6,0,0,31
12570747,116,FALSE,Rx,0,8,E9,6,1,4,0,40,0,FF
12570998,135,FALSE,Rx,0,8,0,C0,0,0,0,0,0,0
12572096,000000A7,FALSE,Rx,0,8,3,3D,E0,80,FD,11,78,3E
12572330,000000A8,FALSE,Rx,0,8,51,7D,5E,E8,81,64,FC,0D
12572784,779,FALSE,Rx,0,8,10,18,62,2B,F0,0,0,2B
12573899,0000070F,FALSE,Rx,0,8,30,20,0,AA,AA,AA,AA,AA
