Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1717888,00000101,false,Rx,0,8,AC,0D,7F,E6,A1,0B,40,00,
1717901,00000106,false,Rx,0,8,69,8D,9C,04,08,00,F2,39,
1717914,0000011E,false,Rx,0,8,5E,0D,00,00,00,00,00,00,
1717927,00000117,false,Rx,0,8,CA,08,00,40,68,00,00,FF,
1717940,000000A7,false,Rx,0,8,FC,6A,A0,81,FD,19,A8,3E,
1717953,000000A8,false,Rx,0,8,8D,AA,FE,D7,81,64,60,0D,
1727752,00000497,false,Rx,0,8,00,40,00,00,64,46,00,20,
1727779,00000108,false,Rx,0,8,63,1A,D1,25,57,FE,00,00,
1727793,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1727806,000000FD,false,Rx,0,8,F6,DD,1F,80,00,00,20,00,
1727819,00000104,false,Rx,0,8,1F,3D,A6,00,E6,00,02,00,
1727832,00000116,false,Rx,0,8,B2,0D,0C,98,A1,FC,0D,FF,
1727845,0000030D,false,Rx,0,4,00,01,00,00,00,00,00,00,
1727869,0000012E,false,Rx,0,8,79,E9,7F,00,FE,00,C0,FF,
1736304,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1737355,00000101,false,Rx,0,8,B1,0E,7F,E6,A1,07,40,00,
1737375,00000106,false,Rx,0,8,C5,8E,9C,04,08,00,F2,39,
1737390,0000011E,false,Rx,0,8,F2,0E,00,00,00,00,00,00,
1737403,0000031B,false,Rx,0,8,70,08,00,00,00,3B,13,00,
1737416,00000117,false,Rx,0,8,AE,09,00,40,68,00,00,FF,
1737430,000003DB,false,Rx,0,8,50,00,01,00,04,20,01,6F,
1737443,000000AD,false,Rx,0,8,E3,E7,BF,FF,8F,20,00,10,
1737456,000000A7,false,Rx,0,8,2D,6C,A0,81,FD,19,A8,3E,
1746713,00000086,false,Rx,0,8,F3,0E,82,00,00,00,00,00,
1746744,0000009F,false,Rx,0,8,FA,3E,50,00,03,03,00,40,
1746964,0000032A,false,Rx,0,8,C6,0A,00,00,44,04,00,00,
1746992,000003C0,false,Rx,0,4,74,00,03,00,00,00,00,00,
1747005,00000381,false,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,6F,
1747019,00000382,false,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,6F,
1747031,00000584,false,Rx,0,6,3E,00,00,00,00,00,00,00,
1747044,000005F0,false,Rx,0,8,64,E4,64,00,00,64,00,00,
1749989,0000011D,false,Rx,0,8,DD,00,00,C8,00,00,00,00,
1750003,00000086,false,Rx,0,8,97,0F,82,00,00,00,00,00,
1750016,0000009F,false,Rx,0,8,2B,3F,50,00,03,02,00,40,
1750029,00000520,false,Rx,0,8,FB,00,00,08,00,0A,00,00,
1768429,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1768464,000000FD,false,Rx,0,8,9E,DF,1F,80,00,00,20,00,
1768480,00000104,false,Rx,0,8,D7,3F,A6,00,E6,00,02,00,
1768493,00000116,false,Rx,0,8,7A,0F,0C,98,A1,FC,0D,FF,
1768506,00000392,false,Rx,0,8,13,2C,00,00,00,00,00,04,
1768521,17F00013,true,Rx,0,8,20,13,00,00,00,00,00,80,
1768534,0000012E,false,Rx,0,8,D1,EB,7F,00,FE,00,C0,FF,
1768547,000000A7,false,Rx,0,8,88,6F,A0,81,FD,19,A8,3E,
1776174,00000395,false,Rx,0,8,18,09,24,06,B5,41,50,5C,
1776202,00000108,false,Rx,0,8,14,1C,D1,25,57,FE,00,00,
1776216,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1776229,00000101,false,Rx,0,8,67,00,7F,E6,A1,04,40,00,
1776242,00000106,false,Rx,0,8,E3,80,9C,04,08,00,F2,39,
1776255,0000011E,false,Rx,0,8,D4,00,00,00,00,00,00,00,
1776269,0000030D,false,Rx,0,4,00,01,00,00,00,00,00,00,
1776281,0000064A,false,Rx,0,4,00,00,00,00,00,00,00,00,
1786589,0000009F,false,Rx,0,8,14,32,50,00,03,03,00,40,
1786617,00000086,false,Rx,0,8,1D,02,82,00,00,00,00,00,
1786630,000000B1,false,Rx,0,8,4D,2F,00,00,00,00,00,00,
1786644,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1786657,000000FD,false,Rx,0,8,E4,D0,1F,80,00,00,20,00,
1786670,000003C8,false,Rx,0,8,00,00,54,24,05,12,80,4E,
1786683,00000104,false,Rx,0,8,95,30,A6,00,E6,00,02,00,
1786696,00000116,false,Rx,0,8,38,00,0C,98,A1,FC,0D,FF,
1797857,0000032A,false,Rx,0,8,A2,0B,00,00,44,04,00,00,
1797886,00000086,false,Rx,0,8,79,03,82,00,00,00,00,00,
1797902,0000009F,false,Rx,0,8,70,33,50,00,03,03,00,40,
1797915,0000011D,false,Rx,0,8,15,02,00,C8,00,00,00,00,
1797928,00000668,false,Rx,0,8,82,00,00,29,00,03,36,01,
1797942,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1797955,00000101,false,Rx,0,8,E2,01,7F,E7,A1,05,40,00,
1797968,0000030B,false,Rx,0,8,10,01,02,00,08,00,00,00,
1808283,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1808312,000000FD,false,Rx,0,8,EE,D1,1F,80,00,00,20,00,
1811362,00000104,false,Rx,0,8,F1,31,A6,00,E6,00,02,00,
1811388,00000116,false,Rx,0,8,5C,01,0C,98,A1,FC,0D,FF,
1811401,0000012E,false,Rx,0,8,58,ED,7F,00,FE,00,C0,FF,
1811414,000000A7,false,Rx,0,8,3C,63,A0,81,FD,19,A8,3E,
1811429,1B000012,true,Rx,0,8,12,00,04,01,11,00,00,00,
1811442,000000A8,false,Rx,0,8,56,A3,FE,D7,81,64,54,0D,
1811455,00000641,false,Rx,0,8,56,2D,2B,58,14,14,E4,52,
1811468,0000011D,false,Rx,0,8,71,03,00,C8,00,00,00,00,
1815927,000003E5,false,Rx,0,8,E1,1E,00,00,00,00,00,00,
1815945,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1815958,00000101,false,Rx,0,8,4E,02,7F,E7,A1,05,40,00,
1815995,00000106,false,Rx,0,8,2B,82,9C,04,08,00,F2,39,
1816008,0000011E,false,Rx,0,8,1C,02,00,00,00,00,00,00,
1816021,00000117,false,Rx,0,8,11,0D,00,40,68,00,00,FF,
1826108,000000A8,false,Rx,0,8,FA,A4,FE,D7,81,64,54,0D,
1826135,000002B7,false,Rx,0,8,55,02,00,00,00,00,00,00,
1826149,00000120,false,Rx,0,8,32,02,00,00,01,04,FF,01,
1826162,00000121,false,Rx,0,8,0B,02,00,40,38,55,7E,FE,
1826175,00000086,false,Rx,0,8,A2,06,82,00,00,00,00,00,
1826189,0000009F,false,Rx,0,8,AB,36,50,00,03,03,00,40,
1826202,00000380,false,Rx,0,8,28,06,40,00,00,00,00,FF,
1826215,00000381,false,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,7F,
1837631,00000104,false,Rx,0,8,5D,32,A6,00,E6,00,02,00,
1837648,00000116,false,Rx,0,8,F0,02,0C,98,A1,FC,0D,FF,
1837661,0000030D,false,Rx,0,4,00,01,00,00,00,00,00,00,
1837674,0000012E,false,Rx,0,8,82,EE,7F,00,FE,00,C0,FF,
1837687,000000A7,false,Rx,0,8,7D,65,A0,81,FD,19,A8,3E,
1837719,000000A8,false,Rx,0,8,90,A5,FE,D7,81,64,54,0D,
1837732,0000011D,false,Rx,0,8,62,04,00,C8,00,00,00,00,
1837881,00000086,false,Rx,0,8,C6,07,82,00,00,00,00,00,
1846631,000003C0,false,Rx,0,4,C1,01,03,00,00,00,00,00,
1846654,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1846670,0000030B,false,Rx,0,8,10,02,02,00,08,00,00,00,
1846683,000000FD,false,Rx,0,8,54,D3,1F,80,00,00,20,00,
1846707,00000104,false,Rx,0,8,39,33,A6,00,E6,00,02,00,
1846721,00000116,false,Rx,0,8,94,03,0C,98,A1,FC,0D,FF,
1846733,17330710,true,Rx,0,3,31,C4,0A,00,00,00,00,00,
1846747,0000012E,false,Rx,0,8,85,EF,7F,00,FE,00,C0,FF,
1850135,0000011D,false,Rx,0,8,06,05,00,C8,00,00,00,00,
1850151,00000086,false,Rx,0,8,E0,09,82,00,00,00,00,00,
1850164,0000009F,false,Rx,0,8,E9,39,50,00,03,03,00,40,
1853339,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1865288,000003BE,false,Rx,0,8,E4,19,E6,51,88,80,00,80,
1865333,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1865347,000000FD,false,Rx,0,8,C2,D4,1F,80,00,00,20,00,
1865360,00000104,false,Rx,0,8,2A,34,A6,00,E6,00,02,00,
1865373,00000116,false,Rx,0,8,87,04,0C,98,A1,FC,0D,FF,
1865386,00000392,false,Rx,0,8,77,2D,00,00,00,00,00,04,
1865400,0000012E,false,Rx,0,8,AC,E0,7F,00,FE,00,C0,FF,
1866341,000002B7,false,Rx,0,8,0C,03,00,00,00,00,00,00,
1875532,000000A7,false,Rx,0,8,FA,69,A0,81,FD,19,A8,3E,
1875563,000000A8,false,Rx,0,8,D2,A9,FE,D7,81,64,60,0D,
1875577,0000011D,false,Rx,0,8,AA,06,00,C8,00,00,00,00,
1875590,00000086,false,Rx,0,8,28,0B,82,00,00,00,00,00,
1875603,0000009F,false,Rx,0,8,5B,3B,50,00,03,04,00,40,
1875616,00000395,false,Rx,0,8,18,03,24,06,B5,41,50,5C,
1875629,00000108,false,Rx,0,8,FA,10,D1,25,57,FE,00,00,
1875643,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1886996,000001AB,false,Rx,0,8,DC,0C,00,02,00,00,04,00,
1887023,0000030D,false,Rx,0,4,00,01,00,00,00,00,00,00,
1887038,00000117,false,Rx,0,8,9B,00,00,40,68,00,00,FF,
1887051,000000A7,false,Rx,0,8,FC,6A,A0,81,FD,19,A8,3E,
1887065,000000A8,false,Rx,0,8,CA,AA,FE,D7,81,64,5C,0D,
1887078,00000120,false,Rx,0,8,B4,05,00,00,01,04,FF,01,
1887091,00000121,false,Rx,0,8,73,05,00,40,38,55,7E,FE,
1887104,0000009F,false,Rx,0,8,48,3C,50,00,03,04,00,40,
1896584,000000AD,false,Rx,0,8,BC,E6,BF,FF,8F,20,00,10,
1896610,000000A7,false,Rx,0,8,92,6B,A0,81,FD,19,A8,3E,
1896624,000000A8,false,Rx,0,8,3F,AB,FE,D7,81,64,58,0D,
1896637,00000365,false,Rx,0,8,C1,C6,17,40,8F,02,AC,7A,
1896650,0000032A,false,Rx,0,8,D5,0D,00,00,44,04,00,00,
1896663,00000086,false,Rx,0,8,5F,0D,82,00,00,00,00,00,
1896676,0000009F,false,Rx,0,8,2C,3D,50,00,03,04,00,40,
1896689,0000011D,false,Rx,0,8,CE,07,00,C8,00,00,00,00,
1907265,00000120,false,Rx,0,8,5B,06,00,00,01,04,FF,01,
1907290,00000121,false,Rx,0,8,74,06,00,40,38,55,7E,FE,
1907304,00000086,false,Rx,0,8,F3,0E,82,00,00,00,00,00,
1907317,0000009F,false,Rx,0,8,80,3E,50,00,03,04,00,40,
1912162,00000396,false,Rx,0,8,4D,09,00,11,00,00,00,00,
1912177,00000381,false,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,8F,
1912190,00000382,false,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,8F,
1912204,17F00072,true,Rx,0,8,00,00,00,00,00,00,00,00,
1912218,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1912231,000000FD,false,Rx,0,8,4A,D6,1F,80,00,00,20,00,
1912244,00000104,false,Rx,0,8,E2,36,A6,00,E6,00,02,00,
1912257,00000116,false,Rx,0,8,4F,06,0C,98,A1,FC,0D,FF,
1920782,00000086,false,Rx,0,8,97,0F,82,00,00,00,00,00,
1920796,0000009F,false,Rx,0,8,51,3F,50,00,03,05,00,40,
1920809,000003E5,false,Rx,0,8,D1,1F,00,00,00,00,00,00,
1920822,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1920835,00000101,false,Rx,0,8,C1,07,7F,E6,A1,05,40,00,
1920849,00000106,false,Rx,0,8,F0,87,9C,04,08,00,F2,39,
1920862,0000011E,false,Rx,0,8,C7,07,00,00,00,00,00,00,
1920875,00000117,false,Rx,0,8,53,02,00,40,68,00,00,FF,
1930395,00000497,false,Rx,0,8,00,40,00,00,64,46,00,20,
1930420,00000108,false,Rx,0,8,32,12,D1,25,57,FE,00,00,
1930434,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1930447,000000FD,false,Rx,0,8,70,D7,1F,80,00,00,20,00,
1930460,00000104,false,Rx,0,8,86,37,A6,00,E6,00,02,00,
1930473,00000116,false,Rx,0,8,2B,07,0C,98,A1,FC,0D,FF,
1930486,0000030D,false,Rx,0,4,00,01,00,00,00,00,00,00,
1930499,0000012E,false,Rx,0,8,F2,E3,7F,00,FE,00,C0,FF,
1934837,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1934852,00000101,false,Rx,0,8,87,08,7F,E6,A1,08,40,00,
1934865,00000106,false,Rx,0,8,46,88,9D,04,08,00,F2,39,
1934878,0000011E,false,Rx,0,8,85,08,00,00,00,00,00,00,
1934892,0000031B,false,Rx,0,8,5D,0C,00,00,00,3B,13,00,
1934905,00000117,false,Rx,0,8,37,03,00,40,68,00,00,FF,
1944842,00000366,false,Rx,0,8,00,00,00,00,80,03,00,00,
1944895,000003C0,false,Rx,0,4,31,02,03,00,00,00,00,00,
1944908,00000584,false,Rx,0,6,6A,01,00,00,00,00,00,00,
1944921,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1944934,000000FD,false,Rx,0,8,B7,D8,1F,80,00,00,20,00,
1944947,0000030B,false,Rx,0,8,10,04,02,00,08,00,00,00,
1944961,00000104,false,Rx,0,8,C4,38,A6,00,E6,00,02,00,
1944975,16A9540A,true,Rx,0,8,00,10,00,41,00,00,00,00,
1953457,000000A8,false,Rx,0,8,C5,A1,FE,D7,81,64,4C,0D,
1953483,00000108,false,Rx,0,8,56,13,D1,25,57,FE,00,00,
1953497,0000011D,false,Rx,0,8,44,0A,00,C8,00,00,00,00,
1953510,00000086,false,Rx,0,8,79,03,82,00,00,00,00,00,
1953523,0000009F,false,Rx,0,8,BF,33,50,00,03,05,00,40,
1953536,00000520,false,Rx,0,8,9F,01,00,08,00,0A,00,00,
1953550,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1953563,00000101,false,Rx,0,8,56,09,7F,E6,A1,09,40,00,
