Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
46455601,00000108,false,Rx,0,8,DA,17,D2,25,57,FE,00,00,
46455629,00000040,false,Rx,0,8,17,0F,00,00,C1,00,00,00,
46455749,00000117,false,Rx,0,8,40,05,00,40,68,00,00,FF,
46455762,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
46455775,00000101,false,Rx,0,8,4F,0A,7F,E6,A1,08,40,00,
46455788,00000106,false,Rx,0,8,D4,8A,9C,04,08,04,F4,39,
46455801,0000011E,false,Rx,0,8,4D,0A,00,00,00,00,00,00,
46455815,000000A7,false,Rx,0,8,37,74,E0,81,FD,1D,A8,3E,
46463416,00000121,false,Rx,0,8,43,0A,00,00,38,55,7E,FE,
46463439,00000380,false,Rx,0,8,E0,04,40,00,00,00,00,FF,
46463464,00000391,false,Rx,0,8,11,6C,25,53,00,28,00,22,
46463477,000003BE,false,Rx,0,8,59,1B,E6,51,88,80,00,80,
46463490,00000381,false,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,5F,
46463503,00000382,false,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,5F,
46463516,0000012E,false,Rx,0,8,7F,E6,7F,00,FE,00,C0,FF,
46463530,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
46473787,00000104,false,Rx,0,8,0C,3A,A6,00,E6,00,02,00,
46473812,00000116,false,Rx,0,8,A6,0A,2D,1C,22,00,16,FF,
46473826,00000392,false,Rx,0,8,00,2B,00,00,00,00,00,04,
46473972,000000A7,false,Rx,0,8,4C,75,E0,81,FD,1D,A8,3E,
46473985,000000A8,false,Rx,0,8,8F,A5,1E,58,82,64,5C,0D,
46473999,0000011D,false,Rx,0,8,33,0C,00,C8,00,00,00,00,
46474012,00000086,false,Rx,0,8,C6,07,82,00,00,00,00,00,
46474025,0000009F,false,Rx,0,8,CB,37,50,00,03,0E,00,40,
46483987,0000030D,false,Rx,0,4,00,01,00,00,00,00,00,00,
46484014,000000A7,false,Rx,0,8,DF,76,E0,81,FD,1D,A8,3E,
46484030,000000A8,false,Rx,0,8,F8,A6,1E,58,82,64,60,0D,
46484043,0000009F,false,Rx,0,8,89,38,50,00,03,0E,00,40,
46484056,00000086,false,Rx,0,8,84,08,82,00,00,00,00,00,
46484069,00000120,false,Rx,0,8,21,0B,00,00,01,04,FF,01,
46484082,00000121,false,Rx,0,8,E8,0B,00,00,38,55,7E,FE,
46484095,000000B1,false,Rx,0,8,71,2E,00,00,00,00,00,00,
46493431,0000031B,false,Rx,0,8,41,07,00,00,06,5C,93,00,
46493456,000000A7,false,Rx,0,8,F4,67,E0,81,FD,1D,A8,3E,
46493470,000000A8,false,Rx,0,8,D5,A7,1E,58,82,64,64,0D,
46493483,000000AD,false,Rx,0,8,B4,E2,BF,FF,8F,20,00,10,
46493496,0000009F,false,Rx,0,8,1D,39,50,00,03,0D,00,40,
46493509,00000086,false,Rx,0,8,E0,09,82,00,00,00,00,00,
46493522,0000011D,false,Rx,0,8,57,0D,00,C8,00,00,00,00,
46493535,0000032A,false,Rx,0,8,6A,09,00,00,44,04,00,00,
46503851,0000011E,false,Rx,0,8,3A,0C,00,00,00,00,00,00,
46503891,000000A7,false,Rx,0,8,B9,68,E0,81,FD,1D,A8,3E,
46503907,000000A8,false,Rx,0,8,BF,A8,1E,58,82,64,68,0D,
46503920,0000009F,false,Rx,0,8,41,3A,50,00,03,0E,00,40,
46503933,00000086,false,Rx,0,8,4C,0A,82,00,00,00,00,00,
46503946,00000108,false,Rx,0,8,FC,19,D2,25,57,FE,00,00,
46503960,00000120,false,Rx,0,8,FB,0C,00,00,01,04,FF,01,
46503973,00000121,false,Rx,0,8,2D,0C,00,00,38,55,7E,FE,
46508575,000000A7,false,Rx,0,8,69,69,E0,81,FD,1D,A8,3E,
46508590,000000A8,false,Rx,0,8,CD,A9,1E,58,82,64,68,0D,
46508603,0000011D,false,Rx,0,8,FB,0E,00,C8,00,00,00,00,
46508616,00000086,false,Rx,0,8,28,0B,82,00,00,00,00,00,
46508629,0000009F,false,Rx,0,8,D5,3B,50,00,03,0D,00,40,
46517372,00000117,false,Rx,0,8,CA,08,00,40,68,00,00,FF,
46517405,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
46517419,00000101,false,Rx,0,8,A8,0D,7F,E6,A1,06,40,00,
46517432,00000106,false,Rx,0,8,C7,8D,9C,04,08,04,F4,39,
46517445,0000011E,false,Rx,0,8,5E,0D,00,00,00,00,00,00,
46517458,000000A7,false,Rx,0,8,FC,6A,A0,81,FD,19,A8,3E,
46517471,000000A8,false,Rx,0,8,AA,AA,1E,58,82,64,6C,0D,
46517484,0000009F,false,Rx,0,8,C6,3C,50,00,03,0D,00,40,
46521748,000003E5,false,Rx,0,8,63,1D,00,00,00,00,00,00,
46521763,00000108,false,Rx,0,8,50,1A,D2,25,57,FE,00,00,
46521800,00000497,false,Rx,0,8,00,40,00,00,64,46,00,20,
46521813,0000012E,false,Rx,0,8,79,E9,7F,00,FE,00,C0,FF,
46523561,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
46523577,000000FD,false,Rx,0,8,E4,DD,1F,80,00,00,23,00,
46534679,00000104,false,Rx,0,8,1F,3D,A6,00,E6,00,02,00,
