Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
2672121,00000104,false,Rx,0,8,A3,33,A6,00,E6,00,00,31,
2672134,00000116,false,Rx,0,8,C5,03,01,04,00,00,00,FF,
2672147,00000392,false,Rx,0,8,FD,20,00,00,00,00,00,04,
2672171,0000012E,false,Rx,0,8,82,EE,7F,00,FE,00,C0,FF,
2672184,00000668,false,Rx,0,8,82,00,00,00,00,00,00,00,
2672198,000002B7,false,Rx,0,8,7D,09,00,00,00,00,00,00,
2681671,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
2681719,00000640,false,Rx,0,8,A0,54,48,58,80,A0,19,01,
2681855,00000101,false,Rx,0,8,5F,04,84,FB,A1,05,40,00,
2681868,00000106,false,Rx,0,8,33,84,64,00,00,00,E5,10,
2681881,0000011E,false,Rx,0,8,6B,04,00,00,00,00,00,00,
2681894,00000117,false,Rx,0,8,BD,0E,00,40,68,00,00,FF,
2681907,0000030D,false,Rx,0,4,04,00,00,00,00,00,00,00,
2681920,0000065F,false,Rx,0,8,2E,20,00,00,00,00,37,7E,
2692673,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
2692718,000000FD,false,Rx,0,8,2D,D4,1F,80,00,00,00,00,
2692735,00000104,false,Rx,0,8,B0,34,A6,00,E6,00,00,31,
2692748,00000116,false,Rx,0,8,D6,04,01,04,00,00,00,FF,
2692761,0000031B,false,Rx,0,8,AF,01,00,00,00,00,00,00,
2692774,0000012E,false,Rx,0,8,85,EF,7F,00,FE,00,C0,FF,
2692787,000000A7,false,Rx,0,8,4D,E8,1F,7C,FD,C1,07,1F,
2692800,000000A8,false,Rx,0,8,B7,08,BF,58,7E,64,00,00,
2702864,00000117,false,Rx,0,8,D9,0F,00,40,68,00,00,FF,
2702889,00000365,false,Rx,0,8,8B,C0,00,00,80,02,00,7A,
2703040,0000030B,false,Rx,0,8,10,09,02,00,08,00,00,00,
2703053,000000A7,false,Rx,0,8,9D,E9,1F,7C,FD,C1,07,1F,
2703066,000000A8,false,Rx,0,8,C5,09,BF,58,7E,64,00,00,
2703079,0000032A,false,Rx,0,8,F3,03,00,00,44,04,00,00,
2703092,00000086,false,Rx,0,8,D4,0B,27,00,00,00,00,00,
2703105,0000009F,false,Rx,0,8,E8,3B,17,00,01,1C,00,40,
2712291,0000012E,false,Rx,0,8,AC,E0,7F,00,FE,00,C0,FF,
2712321,00000108,false,Rx,0,8,12,1D,D2,26,56,FE,00,00,
2714262,00000396,false,Rx,0,8,96,0C,00,11,00,00,00,00,
2714278,000000A7,false,Rx,0,8,9B,EA,1F,7C,FD,C1,07,1F,
2714291,000000A8,false,Rx,0,8,9A,0A,BF,58,7E,64,00,00,
2714304,00000120,false,Rx,0,8,B4,05,00,00,01,04,FF,01,
2714317,00000121,false,Rx,0,8,42,05,00,00,10,66,7E,FE,
2721491,0000009F,false,Rx,0,8,4E,3C,17,00,01,1D,00,40,
2721556,00000086,false,Rx,0,8,C7,0C,27,00,00,00,00,00,
2721569,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
2721582,00000101,false,Rx,0,8,97,06,84,FB,A1,05,40,00,
2721595,00000106,false,Rx,0,8,FB,86,64,00,00,00,E5,10,
2721609,0000011E,false,Rx,0,8,A3,06,00,00,00,00,00,00,
2721622,00000117,false,Rx,0,8,9B,00,00,40,68,00,00,FF,
2721635,000002B7,false,Rx,0,8,73,0A,00,00,00,00,00,00,
2731245,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
2731270,000000FD,false,Rx,0,8,A5,D6,1F,80,00,00,00,00,
