Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
9824252,000000A8,false,Rx,0,8,3A,A7,1E,98,82,64,78,0D,
9824265,00000365,false,Rx,0,8,C1,C6,17,40,90,02,AC,7A,
9824278,0000032A,false,Rx,0,8,6A,09,00,00,44,04,00,00,
9824291,00000086,false,Rx,0,8,3F,09,2D,20,00,00,00,00,
9828386,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
9828402,00000101,false,Rx,0,8,C9,04,7E,F1,A1,05,40,00,
9828415,00000106,false,Rx,0,8,50,84,65,00,08,00,EF,10,
9828428,0000011E,false,Rx,0,8,6B,04,00,00,00,00,00,00,
9828443,17332610,true,Rx,0,8,39,82,03,00,26,00,03,02,
9828456,0000030B,false,Rx,0,8,10,0F,02,00,08,00,00,00,
9828469,00000040,false,Rx,0,8,55,00,00,00,C1,00,00,00,
9841032,000003E5,false,Rx,0,8,E2,15,00,00,00,00,00,00,
9841067,0000012E,false,Rx,0,8,AC,E0,7F,00,FE,00,C0,FF,
9841083,000000A7,false,Rx,0,8,38,89,60,82,FD,25,A8,3E,
9841096,000000A8,false,Rx,0,8,52,A9,1E,98,82,64,7C,0D,
9841109,0000011D,false,Rx,0,8,AA,06,00,C8,00,00,00,00,
9841122,00000086,false,Rx,0,8,F7,0B,2D,20,00,00,00,00,
9841136,0000009F,false,Rx,0,8,B9,3B,1D,80,03,12,00,40,
9841150,17F00012,true,Rx,0,8,20,12,00,00,00,00,00,00,
9851234,000002B7,false,Rx,0,8,DC,00,00,00,00,00,00,00,
9851258,00000117,false,Rx,0,8,9B,00,00,40,68,00,00,FF,
9851272,000000A7,false,Rx,0,8,3E,8A,60,82,FD,25,A8,3E,
9851285,000000A8,false,Rx,0,8,0D,AA,1E,98,82,64,7C,0D,
9851298,00000120,false,Rx,0,8,B4,05,00,00,01,04,FF,01,
9851311,00000121,false,Rx,0,8,0B,05,00,00,38,57,7E,FE,
9856069,00000086,false,Rx,0,8,E4,0C,2D,20,00,00,00,00,
9856102,0000009F,false,Rx,0,8,AA,3C,1D,80,03,12,00,40,
